Team,Conference,Stat Type,Value,Conference Rank,National Rank,National Leader (Team Name or Player Name),NL_Value
Indiana,Big Ten,,84.0,,31.0,,
Northwestern,Big Ten,,83.0,,33.0,,
Penn St.,Big Ten,,59.0,,97.0,,
Wisconsin,Big Ten,,59.0,,97.0,,
Washington,Big Ten,,54.0,,120.0,,
Michigan,Big Ten,,52.0,,127.0,,
Nebraska,Big Ten,,40.0,,189.0,,
Rutgers,Big Ten,,37.0,,202.0,,
UCLA,Big Ten,,36.0,,206.0,,
Michigan St.,Big Ten,,30.0,,232.0,,
Illinois,Big Ten,,29.0,,234.0,,
Ohio St.,Big Ten,,29.0,,234.0,,
Iowa,Big Ten,,19.0,,276.0,,
Maryland,Big Ten,,17.0,,281.0,,
Minnesota,Big Ten,,6.0,,300.0,,
,Big Ten,Triple Plays (2 ranked),,,,Campbell,2.0
Indiana,Big Ten,Triples (296 ranked),15.0,,31.0,Southeastern La.,32.0
Oregon,Big Ten,,14.0,,41.0,,
Ohio St.,Big Ten,,13.0,,49.0,,
Purdue,Big Ten,,13.0,,49.0,,
UCLA,Big Ten,,11.0,,80.0,,
Wisconsin,Big Ten,,11.0,,80.0,,
Illinois,Big Ten,,9.0,,128.0,,
Michigan St.,Big Ten,,8.0,,145.0,,
Minnesota,Big Ten,,8.0,,145.0,,
Nebraska,Big Ten,,8.0,,145.0,,
Northwestern,Big Ten,,8.0,,145.0,,
Washington,Big Ten,,8.0,,145.0,,
Iowa,Big Ten,,7.0,,178.0,,
Michigan,Big Ten,,7.0,,178.0,,
Penn St.,Big Ten,,7.0,,178.0,,
Maryland,Big Ten,,6.0,,211.0,,
Rutgers,Big Ten,,5.0,,235.0,,
Indiana,Big Ten,Triples per Game (298 ranked),0.31,,33.0,Southeastern La.,0.54
Oregon,Big Ten,,0.26,,57.0,,
Purdue,Big Ten,,0.26,,61.0,,
Ohio St.,Big Ten,,0.24,,79.0,,
Wisconsin,Big Ten,,0.21,,97.0,,
UCLA,Big Ten,,0.2,,111.0,,
Illinois,Big Ten,,0.18,,139.0,,
Michigan St.,Big Ten,,0.18,,145.0,,
Northwestern,Big Ten,,0.17,,152.0,,
Minnesota,Big Ten,,0.16,,162.0,,
Nebraska,Big Ten,,0.16,,162.0,,
Washington,Big Ten,,0.16,,162.0,,
Penn St.,Big Ten,,0.14,,195.0,,
Iowa,Big Ten,,0.13,,207.0,,
Michigan,Big Ten,,0.13,,212.0,,
Maryland,Big Ten,,0.12,,225.0,,
Rutgers,Big Ten,,0.09,,261.0,,
UCLA,Big Ten,WHIP (300 ranked),1.07,,6.0,Tennessee,0.98
Oregon,Big Ten,,1.09,,8.0,,
Washington,Big Ten,,1.16,,17.0,,
Nebraska,Big Ten,,1.25,,26.0,,
Michigan,Big Ten,,1.26,,29.0,,
Iowa,Big Ten,,1.38,,64.0,,
Purdue,Big Ten,,1.4,,70.0,,
Wisconsin,Big Ten,,1.51,,105.0,,
Northwestern,Big Ten,,1.54,,122.0,,
Ohio St.,Big Ten,,1.55,,126.0,,
Illinois,Big Ten,,1.58,,146.0,,
Minnesota,Big Ten,,1.66,,178.0,,
Indiana,Big Ten,,1.7,,196.0,,
Maryland,Big Ten,,1.74,,210.0,,
Rutgers,Big Ten,,1.74,,211.0,,
Penn St.,Big Ten,,1.94,,262.0,,
Michigan St.,Big Ten,,1.94,,263.0,,
Oregon,Big Ten,WL Percentage (300 ranked),0.887,,1.0,Oregon,0.887
UCLA,Big Ten,,0.839,,6.0,,
Ohio St.,Big Ten,,0.791,,14.0,,
Nebraska,Big Ten,,0.76,,23.0,,
Washington,Big Ten,,0.68,,47.0,,
Iowa,Big Ten,,0.673,,50.0,,
Indiana,Big Ten,,0.653,,61.0,,
Michigan,Big Ten,,0.642,,66.0,,
Northwestern,Big Ten,,0.628,,73.0,,
Wisconsin,Big Ten,,0.623,,75.0,,
Purdue,Big Ten,,0.56,,111.0,,
Penn St.,Big Ten,,0.48,,165.0,,
Illinois,Big Ten,,0.44,,188.0,,
Minnesota,Big Ten,,0.4,,217.0,,
Maryland,Big Ten,,0.367,,233.0,,
Rutgers,Big Ten,,0.357,,240.0,,
Michigan St.,Big Ten,,0.356,,241.0,,
